"seller_state","customer_state","total_orders","total_freight"
"sp","sp","30834","467495.96"
"sp","rj","8188","191717.16"
"sp","mg","7469","173454.75"
"sp","rs","3614","85183.08"
"sp","pr","3130","73767.46"
"pr","sp","2959","64156.55"
"mg","sp","2580","61943.36"
"sp","sc","2336","56372.77"
"sp","ba","2313","63861.22"
"mg","mg","1539","28584.76"
"sp","es","1467","33302.16"
"sp","go","1424","33936.23"
"sp","df","1386","31151.07"
"rj","sp","1339","28005.64"
"sc","sp","1330","32786.61"
"mg","rj","1145","31352.54"
"sp","pe","1134","38514.80"
"pr","rj","978","24997.22"
"sp","ce","970","33762.14"
"rj","rj","961","13492.77"
