"month","monthly_revenue","cumulative_revenue","monthly_orders","cumulative_orders"
"2017-01-01 00:00:00","127482.37","127482.37","750","750"
"2017-02-01 00:00:00","271239.32","398721.69","1653","2403"
"2017-03-01 00:00:00","414330.95","813052.64","2546","4949"
"2017-04-01 00:00:00","390812.40","1203865.04","2303","7252"
"2017-05-01 00:00:00","566851.40","1770716.44","3546","10798"
"2017-06-01 00:00:00","490050.37","2260766.81","3135","13933"
"2017-07-01 00:00:00","566299.08","2827065.89","3872","17805"
"2017-08-01 00:00:00","645832.36","3472898.25","4193","21998"
"2017-09-01 00:00:00","701077.49","4173975.74","4150","26148"
"2017-10-01 00:00:00","751117.01","4925092.75","4478","30626"
"2017-11-01 00:00:00","1153364.20","6078456.95","7289","37915"
"2017-12-01 00:00:00","843078.29","6921535.24","5513","43428"
"2018-01-01 00:00:00","1077887.46","7999422.70","7069","50497"
"2018-02-01 00:00:00","966168.41","8965591.11","6555","57052"
"2018-03-01 00:00:00","1120598.24","10086189.35","7003","64055"
"2018-04-01 00:00:00","1132878.93","11219068.28","6798","70853"
"2018-05-01 00:00:00","1128774.52","12347842.80","6749","77602"
"2018-06-01 00:00:00","1011978.29","13359821.09","6099","83701"
"2018-07-01 00:00:00","1027807.28","14387628.37","6159","89860"
"2018-08-01 00:00:00","985491.64","15373120.01","6351","96211"
