"customer_state","total_orders","pct_late","avg_delivery_days"
"al","397","23.9","24.5"
"ma","717","19.7","21.6"
"pi","476","16.0","19.5"
"ce","1279","15.3","21.3"
"se","335","15.2","21.5"
"ba","3256","14.0","19.3"
"rj","12349","13.5","15.3"
"to","274","12.8","17.7"
"pa","946","12.4","23.8"
"es","1995","12.2","15.8"
"ms","701","11.6","15.6"
"pb","517","11.0","20.4"
"rn","474","10.8","19.3"
"pe","1593","10.8","18.4"
"sc","3544","9.8","15.0"
"go","1957","8.2","15.6"
"df","2080","7.1","13.0"
"rs","5343","7.1","15.3"
"mt","886","6.8","18.1"
"sp","40480","5.9","8.8"
"mg","11349","5.6","12.0"
"pr","4923","5.0","12.0"
"am","145","4.1","26.4"
"ro","243","2.9","19.4"
