"day_name","hour","total_orders"
"Tue",14,"1124"
"Mon",21,"1118"
"Mon",14,"1096"
"Mon",16,"1094"
"Tue",16,"1081"
"Mon",15,"1079"
"Mon",11,"1078"
"Thu",16,"1077"
"Wed",11,"1062"
"Tue",11,"1056"
"Wed",14,"1050"
"Tue",15,"1047"
"Tue",13,"1045"
"Wed",10,"1042"
"Wed",16,"1040"
"Mon",10,"1035"
"Wed",13,"1029"
"Mon",20,"1027"
"Mon",13,"1027"
"Tue",21,"1027"
"Fri",13,"1002"
"Mon",17,"992"
"Mon",22,"991"
"Fri",11,"990"
"Tue",20,"988"
"Thu",13,"986"
"Thu",10,"984"
"Thu",12,"983"
"Wed",15,"983"
"Fri",15,"979"
"Thu",14,"977"
"Fri",16,"974"
"Mon",12,"971"
"Sun",20,"967"
"Tue",17,"967"
"Tue",10,"967"
"Wed",17,"967"
"Tue",22,"965"
"Wed",21,"963"
"Fri",14,"961"
"Thu",11,"960"
"Fri",10,"956"
"Mon",19,"945"
"Mon",18,"928"
"Thu",15,"928"
"Tue",19,"924"
"Wed",12,"919"
"Thu",17,"909"
"Wed",20,"904"
"Sun",19,"899"
"Tue",12,"898"
"Sun",18,"895"
"Sun",21,"889"
"Wed",22,"878"
"Tue",18,"877"
"Sun",22,"873"
"Tue",9,"864"
"Thu",22,"857"
"Fri",12,"855"
"Wed",18,"852"
"Wed",19,"848"
"Thu",21,"840"
"Thu",20,"839"
"Wed",9,"829"
"Thu",19,"826"
"Fri",17,"817"
"Sun",17,"797"
"Fri",19,"784"
"Thu",18,"784"
"Mon",9,"783"
"Fri",9,"768"
"Thu",9,"758"
"Sat",19,"756"
"Fri",20,"738"
"Sat",20,"730"
"Fri",21,"726"
"Fri",18,"723"
"Sun",13,"723"
"Sat",15,"722"
"Sun",11,"721"
"Mon",23,"717"
"Sun",15,"716"
"Sun",16,"712"
"Sat",11,"711"
"Sat",18,"710"
"Sat",13,"706"
"Fri",22,"702"
"Sat",17,"701"
"Sat",16,"697"
"Tue",23,"692"
"Sat",12,"691"
"Sun",14,"684"
"Sun",12,"678"
"Sat",14,"677"
"Sat",10,"662"
"Sat",21,"654"
"Wed",23,"615"
"Sun",23,"607"
"Thu",23,"551"
"Sat",22,"550"
"Sun",10,"531"
"Tue",8,"522"
"Wed",8,"517"
"Fri",23,"512"
"Thu",8,"502"
"Fri",8,"493"
"Mon",8,"479"
"Sat",9,"434"
"Sat",23,"429"
"Fri",0,"426"
"Wed",0,"397"
"Thu",0,"355"
"Sun",9,"349"
"Mon",0,"328"
"Sat",0,"315"
"Tue",0,"306"
"Sun",0,"267"
"Sat",8,"249"
"Tue",7,"223"
"Thu",7,"220"
"Fri",1,"216"
"Wed",7,"211"
"Fri",7,"206"
"Sun",8,"205"
"Wed",1,"179"
"Sat",1,"175"
"Thu",1,"167"
"Mon",7,"160"
"Tue",1,"158"
"Sun",1,"141"
"Mon",1,"134"
"Sat",7,"106"
"Sun",7,"105"
"Fri",6,"97"
"Wed",6,"93"
"Thu",6,"85"
"Wed",2,"81"
"Tue",2,"80"
"Thu",2,"75"
"Fri",2,"72"
"Tue",6,"71"
"Sun",2,"69"
"Mon",6,"69"
"Sat",2,"67"
"Mon",2,"66"
"Sat",6,"53"
"Fri",3,"49"
"Sun",3,"44"
"Sat",3,"43"
"Fri",4,"40"
"Thu",3,"39"
"Fri",5,"36"
"Mon",3,"36"
"Sun",6,"34"
"Wed",3,"33"
"Wed",4,"33"
"Thu",4,"31"
"Tue",4,"29"
"Tue",3,"28"
"Thu",5,"28"
"Sun",5,"27"
"Sun",4,"27"
"Wed",5,"27"
"Sat",4,"25"
"Tue",5,"24"
"Sat",5,"24"
"Mon",5,"22"
"Mon",4,"21"
